57,0.0,525,440,597,747
54,0.0,93,49,51,158
51,0.0,89,47,54,153
48,0.0,64,158,115,365
45,0.0,73,111,97,285
42,0.0,63,41,37,126
39,0.0,60,35,23,104
36,0.0,60,28,19,98
33,0.0,86,43,36,139
30,0.0,667,605,546,710
27,0.0,729,567,663,760
24,0.0,682,641,572,730
21,0.0,689,650,577,732
18,0.0,696,657,584,734
15,0.0,706,683,592,752
12,0.0,711,725,593,753
9,0.0,714,670,605,741
6,0.0,718,672,612,742
3,0.0,719,671,613,743
0,0.0,719,672,612,744
-3,0.0,720,673,610,744
-6,0.0,721,671,618,743
-9,0.0,722,670,618,742
-12,0.0,721,668,616,740
-15,0.0,719,665,614,738
-18,0.0,723,665,601,737
-21,0.0,724,665,595,735
-24,0.0,730,671,588,732
-27,0.0,731,669,585,725
-30,0.0,739,677,583,721
-33,0.0,743,674,585,716
-36,0.0,760,681,590,711
-39,0.0,778,716,620,738
-42,0.0,774,700,637,751
-45,0.0,758,678,639,760
-48,0.0,753,680,661,765
-51,0.0,741,675,662,772
-54,0.0,728,661,685,763
-57,0.0,723,661,609,732
-60,0.0,722,660,608,731
