Elapsed Time,Voltage,Current
1.744335651397705,-0.0,-0.1
1.7453393936157227,-0.0,-0.1
1.7453393936157227,-0.0,-0.1
1.7453393936157227,-0.0,-0.1
1.746337652206421,-0.0,-0.1
1.746337652206421,-0.0,-0.2
1.746337652206421,-0.0,-0.1
1.7473387718200684,-0.0,-0.1
1.7473387718200684,-0.0,-0.1
1.7473387718200684,-0.0,-0.2
2.005371332168579,-0.0,-0.1
2.006377935409546,-0.0,-0.2
2.006377935409546,-0.0,-0.1
2.007371425628662,-0.0,-0.1
2.007371425628662,-0.0,-0.1
2.008371591567993,-0.0,-0.1
2.008371591567993,-0.0,-0.1
2.009371280670166,-0.0,-0.1
2.009371280670166,-0.0,-0.1
2.010336399078369,-0.0,-0.1
2.010336399078369,-0.0,-0.1
2.010336399078369,-0.0,-0.1
2.0113723278045654,-0.0,-0.1
2.0113723278045654,-0.0,-0.1
2.0113723278045654,-0.0,-0.1
2.01237154006958,-0.0,-0.2
2.01237154006958,-0.0,-0.1
2.01237154006958,-0.0,-0.1
2.013371467590332,-0.0,-0.2
2.1293344497680664,-0.0,-0.2
2.1293344497680664,-0.0,-0.1
2.1303348541259766,-0.0,-0.1
2.1303348541259766,-0.0,-0.2
2.1303348541259766,-0.0,-0.1
2.1303348541259766,-0.0,-0.1
2.1313347816467285,-0.0,-0.2
2.1313347816467285,-0.0,-0.1
2.322432041168213,-0.0,-0.1
2.322519063949585,-0.0,-0.1
2.322519063949585,-0.0,-0.1
2.322519063949585,-0.0,-0.1
2.322519063949585,-0.0,-0.1
2.323472261428833,-0.0,-0.1
2.323472261428833,-0.0,-0.1
2.323472261428833,-0.0,-0.1
2.323472261428833,-0.0,-0.2
2.3245229721069336,-0.0,-0.1
2.3245229721069336,-0.0,-0.1
2.3245229721069336,-0.0,-0.1
2.3245229721069336,-0.0,-0.2
2.5165176391601562,-0.0,-0.1
2.5165176391601562,-0.0,-0.1
2.5175185203552246,-0.0,-0.1
2.5175185203552246,-0.0,-0.1
2.5175185203552246,-0.0,-0.1
2.51851749420166,-0.0,-0.1
2.51851749420166,-0.0,-0.1
2.51851749420166,-0.0,-0.1
2.51851749420166,-0.0,-0.1
2.519516706466675,-0.0,-0.1
2.519516706466675,-0.0,-0.1
2.519516706466675,-0.0,-0.1
2.520516872406006,-0.0,-0.1
2.520516872406006,-0.0,-0.1
2.6284823417663574,-0.0,-0.1
2.6294801235198975,-0.0,-0.2
2.6294801235198975,-0.0,-0.2
2.6294801235198975,-0.0,-0.1
2.630481004714966,-0.0,-0.1
2.630481004714966,-0.0,-0.2
2.630481004714966,-0.0,-0.2
2.631479024887085,-0.0,-0.2
2.8074843883514404,-0.0,-0.2
2.808483123779297,-0.0,-0.2
2.808483123779297,-0.0,-0.2
2.808483123779297,-0.0,-0.1
2.808483123779297,-0.0,-0.1
2.809483051300049,-0.0,-0.1
2.809483051300049,-0.0,-0.1
2.809483051300049,-0.0,-0.1
2.809483051300049,-0.0,-0.1
2.81048321723938,-0.0,-0.1
2.81048321723938,-0.0,-0.1
2.81048321723938,-0.0,-0.1
2.9775145053863525,-0.0,-0.1
2.9775145053863525,-0.0,-0.1
2.9775145053863525,-0.0,-0.1
2.9775145053863525,-0.0,-0.1
2.97851824760437,-0.0,-0.1
2.97851824760437,-0.0,-0.1
2.97851824760437,-0.0,-0.1
2.9794797897338867,-0.0,-0.1
2.9794797897338867,-0.0,-0.1
2.9794797897338867,-0.0,-0.1
2.980515956878662,-0.0,-0.1
2.980515956878662,-0.0,-0.1
3.0804810523986816,-0.0,-0.1
3.0804810523986816,-0.0,-0.1
3.0804810523986816,-0.0,-0.2
3.0804810523986816,-0.0,-0.1
3.0814828872680664,-0.0,-0.1
3.0814828872680664,-0.0,-0.1
3.0814828872680664,-0.0,-0.1
3.304481029510498,-0.0,-0.1
3.3054823875427246,-0.0,-0.1
3.3054823875427246,-0.0,-0.2
3.3054823875427246,-0.0,-0.1
3.3054823875427246,-0.0,-0.2
3.3064804077148438,-0.0,-0.1
3.3064804077148438,-0.0,-0.1
3.3064804077148438,-0.0,-0.1
3.3074798583984375,-0.0,-0.1
3.3074798583984375,-0.0,-0.1
3.3074798583984375,-0.0,-0.2
3.3074798583984375,-0.0,-0.1
3.3084802627563477,-0.0,-0.1
3.3084802627563477,-0.0,-0.2
